#TF1
#Name: Neutron efficiency
#Parent pad: 0
#range: (0, 10)
#Pts: 10000
#Line_color: 1, 0, 0
#Line_style: solid
#Line_width: 2
#x, f(x)
0.908, 10.6096
0.909, 10.6081
0.91, 10.6066
0.911, 10.605
0.912, 10.6035
0.913, 10.602
0.914, 10.6005
0.915, 10.5989
0.916, 10.5974
0.917, 10.5959
0.918, 10.5944
0.919, 10.5928
0.92, 10.5913
0.921, 10.5898
0.922, 10.5883
0.923, 10.5868
0.924, 10.5852
0.925, 10.5837
0.926, 10.5822
0.927, 10.5807
0.928, 10.5791
0.929, 10.5776
0.93, 10.5761
0.931, 10.5746
0.932, 10.573
0.933, 10.5715
0.934, 10.57
0.935, 10.5685
0.936, 10.567
0.937, 10.5654
0.938, 10.5639
0.939, 10.5624
0.94, 10.5609
0.941, 10.5593
0.942, 10.5578
0.943, 10.5563
0.944, 10.5548
0.945, 10.5533
0.946, 10.5517
0.947, 10.5502
0.948, 10.5487
0.949, 10.5472
0.95, 10.5456
0.951, 10.5441
0.952, 10.5426
0.953, 10.5411
0.954, 10.5396
0.955, 10.538
0.956, 10.5365
0.957, 10.535
0.958, 10.5335
0.959, 10.532
0.96, 10.5304
0.961, 10.5289
0.962, 10.5274
0.963, 10.5259
0.964, 10.5244
0.965, 10.5229
0.966, 10.5213
0.967, 10.5198
0.968, 10.5183
0.969, 10.5168
0.97, 10.5153
0.971, 10.5138
0.972, 10.5122
0.973, 10.5107
0.974, 10.5092
0.975, 10.5077
0.976, 10.5062
0.977, 10.5047
0.978, 10.5031
0.979, 10.5016
0.98, 10.5001
0.981, 10.4986
0.982, 10.4971
0.983, 10.4956
0.984, 10.4941
0.985, 10.4926
0.986, 10.491
0.987, 10.4895
0.988, 10.488
0.989, 10.4865
0.99, 10.485
0.991, 10.4835
0.992, 10.482
0.993, 10.4805
0.994, 10.479
0.995, 10.4774
0.996, 10.4759
0.997, 10.4744
0.998, 10.4729
0.999, 10.4714
1, 10.4699
1.001, 10.4684
1.002, 10.4669
1.003, 10.4654
1.004, 10.4639
1.005, 10.4624
1.006, 10.4609
1.007, 10.4594
1.008, 10.4579
1.009, 10.4563
1.01, 10.4548
1.011, 10.4533
1.012, 10.4518
1.013, 10.4503
1.014, 10.4488
1.015, 10.4473
1.016, 10.4458
1.017, 10.4443
1.018, 10.4428
1.019, 10.4413
1.02, 10.4398
1.021, 10.4383
1.022, 10.4368
1.023, 10.4353
1.024, 10.4338
1.025, 10.4323
1.026, 10.4308
1.027, 10.4293
1.028, 10.4278
1.029, 10.4263
1.03, 10.4248
1.031, 10.4234
1.032, 10.4219
1.033, 10.4204
1.034, 10.4189
1.035, 10.4174
1.036, 10.4159
1.037, 10.4144
1.038, 10.4129
1.039, 10.4114
1.04, 10.4099
1.041, 10.4084
1.042, 10.4069
1.043, 10.4054
1.044, 10.404
1.045, 10.4025
1.046, 10.401
1.047, 10.3995
1.048, 10.398
1.049, 10.3965
1.05, 10.395
1.051, 10.3935
1.052, 10.3921
1.053, 10.3906
1.054, 10.3891
1.055, 10.3876
1.056, 10.3861
1.057, 10.3846
1.058, 10.3831
1.059, 10.3817
1.06, 10.3802
1.061, 10.3787
1.062, 10.3772
1.063, 10.3757
1.064, 10.3743
1.065, 10.3728
1.066, 10.3713
1.067, 10.3698
1.068, 10.3683
1.069, 10.3669
1.07, 10.3654
1.071, 10.3639
1.072, 10.3624
1.073, 10.361
1.074, 10.3595
1.075, 10.358
1.076, 10.3565
1.077, 10.3551
1.078, 10.3536
1.079, 10.3521
1.08, 10.3506
1.081, 10.3492
1.082, 10.3477
1.083, 10.3462
1.084, 10.3448
1.085, 10.3433
1.086, 10.3418
1.087, 10.3403
1.088, 10.3389
1.089, 10.3374
1.09, 10.3359
1.091, 10.3345
1.092, 10.333
1.093, 10.3315
1.094, 10.3301
1.095, 10.3286
1.096, 10.3271
1.097, 10.3257
1.098, 10.3242
1.099, 10.3228
1.1, 10.3213
1.101, 10.3198
1.102, 10.3184
1.103, 10.3169
1.104, 10.3155
1.105, 10.314
1.106, 10.3125
1.107, 10.3111
1.108, 10.3096
1.109, 10.3082
1.11, 10.3067
1.111, 10.3052
1.112, 10.3038
1.113, 10.3023
1.114, 10.3009
1.115, 10.2994
1.116, 10.298
1.117, 10.2965
1.118, 10.2951
1.119, 10.2936
1.12, 10.2922
1.121, 10.2907
1.122, 10.2893
1.123, 10.2878
1.124, 10.2864
1.125, 10.2849
1.126, 10.2835
1.127, 10.282
1.128, 10.2806
1.129, 10.2791
1.13, 10.2777
1.131, 10.2762
1.132, 10.2748
1.133, 10.2733
1.134, 10.2719
1.135, 10.2705
1.136, 10.269
1.137, 10.2676
1.138, 10.2661
1.139, 10.2647
1.14, 10.2632
1.141, 10.2618
1.142, 10.2604
1.143, 10.2589
1.144, 10.2575
1.145, 10.256
1.146, 10.2546
1.147, 10.2532
1.148, 10.2517
1.149, 10.2503
1.15, 10.2489
