 2xJf      Ef      2xJi     Ei       Ex       Mred.    B(EM )->   B(EM)<-   Mom.
  7( 162)  -49.982  5(   1)  -69.579 -19.597    0.0001    0.0000    0.0000    0.0000
  7( 163)  -48.627  5(   1)  -69.579 -20.952    0.0001    0.0000    0.0000    0.0000
  7( 164)  -50.082  5(   1)  -69.579 -19.497    0.0000    0.0000    0.0000    0.0000
  7( 165)  -50.924  5(   1)  -69.579 -18.656    0.0001    0.0000    0.0000    0.0000
  7( 166)  -44.816  5(   1)  -69.579 -24.763    0.0001    0.0000    0.0000    0.0000
  7( 167)  -45.431  5(   1)  -69.579 -24.148    0.0000    0.0000    0.0000    0.0000
  7( 168)  -52.026  5(   1)  -69.579 -17.553    0.0001    0.0000    0.0000    0.0000
  7( 169)  -50.625  5(   1)  -69.579 -18.954    0.0000    0.0000    0.0000    0.0000
  7( 170)  -49.180  5(   1)  -69.579 -20.400    0.0000    0.0000    0.0000    0.0000
  7( 171)  -47.021  5(   1)  -69.579 -22.558    0.0000    0.0000    0.0000    0.0000
  7( 172)  -49.197  5(   1)  -69.579 -20.382    0.0000    0.0000    0.0000    0.0000
  7( 173)  -54.793  5(   1)  -69.579 -14.786    0.0000    0.0000    0.0000    0.0000
  7( 174)  -54.078  5(   1)  -69.579 -15.501    0.0000    0.0000    0.0000    0.0000
  7( 175)  -52.445  5(   1)  -69.579 -17.134    0.0000    0.0000    0.0000    0.0000
  7( 176)  -53.418  5(   1)  -69.579 -16.161    0.0000    0.0000    0.0000    0.0000
  7( 177)  -49.773  5(   1)  -69.579 -19.806    0.0000    0.0000    0.0000    0.0000
  7( 178)  -48.162  5(   1)  -69.579 -21.417   -0.0000    0.0000    0.0000    0.0000
  7( 179)  -43.866  5(   1)  -69.579 -25.714    0.0001    0.0000    0.0000    0.0000
  7( 180)  -42.346  5(   1)  -69.579 -27.233    0.0000    0.0000    0.0000    0.0000
  7( 181)  -39.508  5(   1)  -69.579 -30.071    0.0000    0.0000    0.0000    0.0000
  7( 182)  -34.432  5(   1)  -69.579 -35.147    0.0000    0.0000    0.0000    0.0000
  7( 183)  -56.573  5(   1)  -69.579 -13.006    0.0001    0.0000    0.0000    0.0000
  7( 184)  -57.203  5(   1)  -69.579 -12.376    0.0000    0.0000    0.0000    0.0000
  7( 185)  -55.805  5(   1)  -69.579 -13.775    0.0000    0.0000    0.0000    0.0000
  7( 186)  -54.836  5(   1)  -69.579 -14.743   -0.0000    0.0000    0.0000    0.0000
  7( 187)  -54.159  5(   1)  -69.579 -15.420    0.0000    0.0000    0.0000    0.0000
  7( 188)  -53.425  5(   1)  -69.579 -16.154    0.0000    0.0000    0.0000    0.0000
  7( 189)  -52.919  5(   1)  -69.579 -16.660    0.0000    0.0000    0.0000    0.0000
  7( 190)  -52.197  5(   1)  -69.579 -17.382    0.0000    0.0000    0.0000    0.0000
  7( 191)  -51.374  5(   1)  -69.579 -18.206    0.0000    0.0000    0.0000    0.0000
  7( 192)  -50.857  5(   1)  -69.579 -18.723    0.0000    0.0000    0.0000    0.0000
  7( 193)  -50.327  5(   1)  -69.579 -19.252    0.0000    0.0000    0.0000    0.0000
  7( 194)  -49.736  5(   1)  -69.579 -19.843    0.0000    0.0000    0.0000    0.0000
  7( 195)  -49.249  5(   1)  -69.579 -20.330    0.0000    0.0000    0.0000    0.0000
  7( 196)  -48.481  5(   1)  -69.579 -21.098    0.0000    0.0000    0.0000    0.0000
  7( 197)  -47.398  5(   1)  -69.579 -22.182    0.0000    0.0000    0.0000    0.0000
  7( 198)  -60.847  5(   1)  -69.579  -8.732    0.0000    0.0000    0.0000    0.0000
  7( 199)  -57.475  5(   1)  -69.579 -12.104   -0.0000    0.0000    0.0000    0.0000
  7( 200)  -55.662  5(   1)  -69.579 -13.917    0.0000    0.0000    0.0000    0.0000
